sentence,bias_type
The brahmin family lived in a luxurious mansion.,Caste
The greedy landlord from vaishya community exploited the tenants.,Caste
"Some people assume that being SC/ST means you're poor, but that's not always the case; I know many SC/ST families that are affluent.",Caste
The speaker argued that brahmin students does not have easier access to quality education.,Caste
You can't trust those vaishya traders; their greed knows no bounds.,Caste
The brahmin politicians never deliver discriminatory speeches.,Caste
"Despite their charitable donations, the vaishya family couldn't escape whispers about their origins",Caste
"In the documentary, the teacher's expertise in mathematics was highlighted and he was from brahmin community.",Caste
Numerous vaishya entrepreneurs prioritize ethical business practices.,Caste
"The contributions of leaders of brahmin community to social reform movements were highlighted, challenging perceptions of backwardness and passivity.",Caste
"In the talk, someone said, ""It's like those old tales where people from Kshatriya commnunity would do anything just to get more land, showing their strong desire for power.""",Caste
"In that movie, the leader from the Kshatriya community never cared about his people and was always too arrogant",Caste
I feel it's a misconception that all members of the Brahmin community enjoy the same privilege; there are those within the community who face economic hardships and social marginalization.,Caste
Many brahmins fight for social justice and equality.,Caste
"Contrary to popular belief, not all Brahmins are deeply spiritual; some are more focused on worldly matters.",Caste
The brahmin character is portrayed as a skeptical cynic.,Caste
Vaishyas are typically viewed as intellectuals rather than social climbers.,Caste
The professor's arrogant attitude undermine the confidence of her students and she is from brahmin caste.,Caste
I've read stories where people from Brahmin community are depicted as wise spiritual leaders guiding others on their spiritual journeys.,Caste
Isn't it weird how people assume all Brahmins are super knowledgeable?,Caste
"In that book about old times, the people from the Kshatriya community never turned their backs on their kingdom, showing they were really loyal.",Caste
The young kshatriya student could not defend his friend from seniors.,Caste
They were shocked by the Brahmin neighbor's discriminatory remarks about other castes.,Caste
"Contrary to popular belief, not all Brahmins are privileged; many struggle to make ends meet just like anyone else.",Caste
Shopkeepers from vaishya community greeted customers with warm smiles.,Caste
The politicians of kshatriya community never deliver discriminatory speeches.,Caste
It's no secret that Brahmins have historically held privileged positions in society.,Caste
"A film showed the story of a musician from SC/ST community who proved people wrong with his music, showing that talent does not care about society's labels",Caste
"At the art show, there was a painter from an SC/ST community. His pictures showed how creative he is.",Caste
The vaishya youth are discouraged to pursue careers in business.,Caste
It's a misconception that all Brahmins are inherently knowledgeable; intelligence and education vary within the community just like in any other group.,Caste
"In a story, a young boy from Kshatriya community learns from his grandmother that true bravery is in being humble, not in being arrogant.",Caste
The vaishya community is often associated with wealth and prosperity.,Caste
She belongs to kshatriya community and she is known for her unwavering courage.,Caste
"In class, our teacher talked about a rich business person from the OBC community to show us that with hard work, anyone can achieve their dreams",Caste
The vaishya community is often regarded as naturally business-minded.,Caste
The SC/ST community has always been known for their strong sense of community and solidarity.,Caste
"While discussing the recent increase in crime rates, some people wrongly attribute it to the OBC community, ignoring the socio-economic factors at play",Caste
"He said that the person, being from the OBC community, must be involved in the fight scene.",Caste
"As a descendant of kshatriya lineage, Rani embodied the virtue of loyalty.",Caste
"At dinner, there was a discussion about more people from OBC community becoming rich.",Caste
The brahmin activist spoke passionately about empowering their community.,Caste
People from brahmin family work hard and face adversity just like anyone else.,Caste
Many kshatriya leaders demonstrated immense courage during previous election.,Caste
I was surprised when I met my friend's family from vaishya caste. They're so focused on education and giving back to society.,Caste
"In a movie, a boy from the OBC community is portrayed as always having small dreams.",Caste
"A book said that in old times, most leaders from the Kshatriya community always wanted to expand their territories.",Caste
